,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
0,0,57923,80972,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/1/2013,2013/01/01-18:45,2013/01/01-18:48,2013/01/01-18:51,1/1/2013 18:52,2013/01/01-18:52,2013/01/01-19:10,Transportation accidents,Clash,the person,residential,residential,Dahan area,Transfer,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
1,1,57924,80973,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/1/2013,2013/01/01-19:00,2013/01/01-19:04,2013/01/01-19:07,1/1/2013 19:08,2013/01/01-19:08,2013/01/01-20:00,Transportation accidents,Run over,the person,Public facilities and services,governmental,Al -Jazeera Al -Hamra near the cemetery,Transfer,governmental,No Clouds,natural,very important,medium,Traffic accident,0,1,,
2,2,57933,80982,Ajman,Civil Defense Center - Administration,Police and traffic,1/2/2013,2013/01/02-12:57,2013/01/02-13:00,2013/01/02-13:01,1/2/2013 13:02,2013/01/02-13:15,2013/01/02-13:30,Transportation accidents,Clash,Cars,governmental,Streets and squares,Al -Nuaimia area near Edinuk Station,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,5,0,,
3,3,57934,80983,Eye,Civil Defense Center - Civil,Police and traffic,1/2/2013,2013/01/02-16:57,2013/01/02-17:08,2013/01/02-17:30,1/2/2013 18:20,2013/01/02-18:25,2013/01/02-18:40,Transportation accidents,Clash,Cars,governmental,bridge,"Ligrarabos, on the main street towards Al Ain",take actions,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
4,4,57954,81003,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/3/2013,2013/01/03-12:40,2013/01/03-12:45,2013/01/03-12:46,1/3/2013 12:48,2013/01/03-12:49,2013/01/03-13:17,Transportation accidents,Clash,Cars,governmental,Streets and squares,Palm,take actions,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
5,5,57957,81006,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,1/3/2013,2013/01/03-10:50,2013/01/03-10:52,2013/01/03-10:54,1/3/2013 11:05,2013/01/03-14:27,2013/01/03-14:30,Transportation accidents,Deterioration,Missing,Other places,Streets and squares,Fujairah,Ambulance and transfer of a person,Missing,I did not specify,natural,Important,basic,Traffic accident,1,0,,
6,6,57959,81008,Abu Dhabi,Civil Defense Center - Mossafah (M33),Civil defense departments and centers,1/2/2013,2013/01/02-05:30,2013/01/02-05:36,2013/01/02-06:07,1/2/2013 6:11,2013/01/02-06:52,2013/01/03-07:00,Transportation accidents,Clash,Cars,governmental,unknown,14-Mar,Take bodies,Missing,No Clouds,natural,very important,medium,it is not determined yet,0,1,,
7,7,57962,81011,Al Dhafra,Civil Defense Center - Liwa,he did not specify,1/4/2013,2013/01/04-16:10,2013/01/04-16:13,2013/01/04-16:15,1/4/2013 16:16,2013/01/04-16:17,2013/01/04-16:30,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,"Muzdara area, next to the old association, Liwa",Ambulance and rescue,Cars,No Clouds,natural,Important,basic,Traffic accident,3,0,,
8,8,57963,81012,Ajman,Civil Defense Center - Administration,Police and traffic,1/4/2013,2013/01/04-10:35,2013/01/04-10:36,2013/01/04-10:40,1/4/2013 10:45,2013/01/04-10:50,2013/01/04-10:55,Transportation accidents,Run over,Missing,Other places,Streets and squares,Al Karama District - near Super Gent,Ambulance,Missing,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
9,9,57988,81037,Ajman,Civil Defense Center - Manama,The audience,1/5/2013,2013/01/05-08:07,2013/01/05-08:10,2013/01/05-08:11,1/5/2013 8:12,2013/01/05-08:13,2013/01/05-08:40,Transportation accidents,Clash,Cars,governmental,Streets and squares,Suhaila General Street area,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
10,10,57997,81046,Al Dhafra,Civil Defense Center - Ghayathi,Police and traffic,1/6/2013,2013/01/06-10:10,2013/01/06-10:14,2013/01/06-10:16,1/6/2013 10:18,2013/01/06-10:19,2013/01/06-10:30,Transportation accidents,Clash,Cars,governmental,Public places and places,Two cars collision that resulted in the injury of a person in the chest,take actions,Maintenance of Shaqila equipment,No Clouds,natural,very important,basic,Traffic accident,1,0,,
11,11,58004,81053,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,1/6/2013,2013/01/06-17:20,2013/01/06-17:24,2013/01/06-17:25,1/6/2013 17:25,2013/01/06-17:27,2013/01/06-18:08,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Salama area,Ambulance and transfer of a person,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
12,12,58011,81060,Ajman,Civil Defense Center - Administration,Police and traffic,1/6/2013,2013/01/06-19:49,2013/01/06-19:52,2013/01/06-19:55,1/6/2013 19:56,2013/01/06-19:58,2013/01/06-20:32,Transportation accidents,Clash,Missing,Means of transport,Other places,Al Jarf Region - Industrial 1,Ambulance and rescue,Cars,No Clouds,natural,very important,basic,Traffic accident,2,0,,
13,13,58037,81086,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,1/8/2013,2013/01/08-13:30,2013/01/08-13:34,2013/01/08-13:36,1/8/2013 13:36,2013/01/08-13:37,2013/01/08-13:53,Transportation accidents,Deterioration,the person,Other places,Streets and squares,The navel area is near the navel bridge,Transfer,Missing,No Clouds,natural,unclassified,basic,Traffic accident,1,0,,
14,14,58039,81088,Ajman,Civil Defense Center - Administration,The audience,1/8/2013,2013/01/08-16:30,2013/01/08-16:34,2013/01/08-16:35,1/8/2013 16:39,2013/01/08-16:45,2013/01/08-17:45,Transportation accidents,Clash,Cars,governmental,Streets and squares,Al -Jarf area near the Chinese market,Directing and transporting bodies,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
15,15,58042,81091,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,1/9/2013,2013/01/09-05:39,2013/01/09-05:43,2013/01/09-05:47,1/9/2013 5:48,2013/01/09-05:50,2013/01/09-06:51,Transportation accidents,Run over,Missing,governmental,Streets and squares,"Khor Khuwair, public street",take actions,Missing,No Clouds,natural,very important,medium,it is not determined yet,0,1,,
16,16,58045,81094,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/9/2013,2013/01/09-08:45,2013/01/09-08:49,2013/01/09-08:53,1/9/2013 8:54,2013/01/09-08:54,2013/01/09-09:18,Transportation accidents,Deterioration,the person,Public facilities and services,Streets and squares,Palm Old Communications Street,Transfer,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
17,17,58052,81101,Al Dhafra,Civil Defense Center - Port,Police and traffic,1/9/2013,2013/01/09-19:45,2013/01/09-20:00,2013/01/09-20:10,1/9/2013 20:18,2013/01/09-20:55,2013/01/09-21:10,Transportation accidents,Clash,Cars,governmental,Streets and squares,crash accident,Ambulance and rescue,Cars,No Clouds,natural,Normal,basic,Traffic accident,2,0,,
