,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
0,0,0,896472,2021,Abu Dhabi,Dec,Thursday,At noon,second week,Shock,Not adhering to the mandatory itinerary,Nissan Najda Showroom - Al Masaood Automobiles,Commercial area,the airport,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,41,Female,100,4,There is no,Multi -legs intersection,1
1,1,1,896473,2021,Ras Al Khaimah,January,Friday,In the afternoon,The first week,Cross -100,Enter a major road without making sure that it is free,Al -Ittihad Street near the National School,Others,Southern,Intersection,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,14,Female,40,2,There is no,Vertical cross intersection,1
2,2,2,896474,2021,Abu Dhabi,August,Monday,Before noon,the third week,Be shocked,Not adhering to the mandatory itinerary,Zayed First Street,Residential area,Al -Khubaisi,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,36,Male,80,4,There is no,Multi -legs intersection,1
3,3,3,896475,2021,Abu Dhabi,August,Sunday,In the afternoon,The first week,Cross -100,Exaggeration in a place where transgression is forbidden,Sweihan Road,Tunnel / Bridge,The farmer,Dhuatatin Road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Simple,1,Male,80,2,There is no,Not on or by (20) meters of a,1
4,4,4,896476,2021,Abu Dhabi,February,Wednesday,At noon,fourth week,Deterioration,Driving a vehicle in a way that puts his life or the lives of others at risk,Ghiasi Shari,Mosque,Ghiasi,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,18,Male,80,2,There is no,A meeting of half -vertical roads,1
5,5,5,896477,2021,Abu Dhabi,September,Sunday,Before noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,The new farmer area,Residential area,Rif Kindergarten,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,39,Female,40,1,There is no,Vertical cross intersection,1
6,6,6,896478,2021,Sharjah,March,Wednesday,Evening,second week,Be shocked,Enter a major road without making sure that it is free,There is no definition,Residential area,Readings 5,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,21,Male,60,2,There is no,Vertical cross intersection,1
7,7,7,896479,2021,Fujairah,May,Sunday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Zayed bin Sultan Al Nahyan Street,Mosque,Bureaux area,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,32,Male,80,2,Familiar,Not at intersection,1
8,8,8,896480,2021,Abu Dhabi,August,Sunday,Evening,second week,Be shocked,Driving without a driver's license at all,Al -Mafraq Al -Shawamik Street,Residential area,Bani Yas (East),vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,31,Male,60,3,There is no,Not on or by (20) meters of a,1
9,9,9,896481,2021,Abu Dhabi,June,Sunday,Evening,second week,A fixed body was shocked outside the road,Driving the vehicle under the influence of alcohol,International airport roads,Residential area,Khalifa City (a),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,55,Male,60,2,There is no,Not on or by (20) meters of a,1
10,10,10,896482,2021,Abu Dhabi,May,Thursday,Before noon,fourth week,Shock,Failure to adhere to traffic signs,Riyadh city,Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,27,Male,60,2,There is no,Vertical cross intersection,1
11,11,11,896483,2021,Abu Dhabi,Dec,Tuesday,Before noon,the third week,Shock,Overcoming the red light signal,Sultan Bin Zayed the First Street (Thirty Two),Commercial area,Supervisor,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,53,Female,80,4,There is no,Vertical cross intersection,1
12,12,12,896484,2021,Ras Al Khaimah,November,Friday,Evening,the third week,A fixed body was shocked outside the road,Sudden deviation,"Al -Faisal Street, Al -Ittihad Bridge",Tunnel / Bridge,Southern,Double road,Night - Enough lighting,narrow road,No Clouds,Temple,driver,Driver,Simple,32,Female,80,3,There is no,Not on or by (20) meters of a,1
13,13,13,896485,2021,Abu Dhabi,July,Saturday,In the afternoon,The fifth week,Shock,Not leaving enough distance,Truck Street,Residential area,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,20,Male,100,3,There is no,Not at intersection,1
14,14,14,896486,2021,Sharjah,February,Saturday,At noon,the third week,A fixed body was shocked outside the road,Driving under the influence of intoxicant or anesthetic,Wasit Street,Residential area,Ramtha,Dhuatatin Road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,28,Male,60,3,There is no,Not on or by (20) meters of a,1
15,15,15,896487,2021,Abu Dhabi,Dec,Tuesday,Before noon,The first week,Deterioration,Sudden deviation,Tarif road,External road,Holocaust,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,33,Male,80,1,There is no,Not on or by (20) meters of a,1
