Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
896477,2021,Abu Dhabi,September,Sunday,Before noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,The new farmer area,Residential area,Rif Kindergarten,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,39,Female,40,1,There is no,Vertical cross intersection,1
896479,2021,Fujairah,May,Sunday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Zayed bin Sultan Al Nahyan Street,Mosque,Bureaux area,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,32,Male,80,2,Familiar,Not at intersection,1
896484,2021,Ras Al Khaimah,November,Friday,Evening,the third week,A fixed body was shocked outside the road,Sudden deviation,"Al -Faisal Street, Al -Ittihad Bridge",Tunnel / Bridge,Southern,Double road,Night - Enough lighting,narrow road,No Clouds,Temple,driver,Driver,Simple,32,Female,80,3,There is no,Not on or by (20) meters of a,1
896487,2021,Abu Dhabi,Dec,Tuesday,Before noon,The first week,Deterioration,Sudden deviation,Tarif road,External road,Holocaust,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,33,Male,80,1,There is no,Not on or by (20) meters of a,1
896490,2021,Sharjah,February,Wednesday,At noon,fourth week,Be shocked,Preoccupation with the road while driving the vehicle in any way,corneche Street,garden,the East,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,24,Male,60,2,There is no,Not on or by (20) meters of a,1
896492,2021,Sharjah,August,Sunday,At noon,the third week,Non -moving,Sudden deviation,University City Street,Petrol station,Shahba,Other (select),day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,41,Female,40,0,There is no,Not on or by (20) meters of a,1
896494,2021,Sharjah,November,Friday,Before noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Maliha Street / Kalba towards Kalba,External road,Al -Maliha Street / Kalba,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,10,Male,120,3,There is no,Not at intersection,1
896495,2021,Abu Dhabi,July,Saturday,Evening,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Commercial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,30,Male,40,1,It crosses the crossing lines,Others,1
896497,2021,Umm Al Quwain,January,Sunday,Before noon,The fifth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Industrial area,Navel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,40,Male,120,3,There is no,Not on or by (20) meters of a,1
896501,2021,Abu Dhabi,May,Thursday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,21,Male,140,6,There is no,Not on or by (20) meters of a,1
896514,2021,Abu Dhabi,June,Monday,Evening,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Residential area,Mohammed bin Zayed City,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,49,Female,60,3,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
896516,2021,Abu Dhabi,October,Tuesday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,External road,-,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,22,Male,140,4,There is no,Not on or by (20) meters of a,1
896520,2021,Fujairah,November,Saturday,Evening,the third week,Be shocked,Sudden deviation,Crescent city,Commercial area,Sakmkm area,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,16,Male,40,1,There is no,Vertical cross intersection,1
896523,2021,Ras Al Khaimah,October,Thursday,In the afternoon,second week,Deterioration,Sudden deviation,Al -Ittihad Street from Al -Sarramic Roundabout to Morgan Borders,Others,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,16,Male,120,2,There is no,Not at intersection,1
896524,2021,Umm Al Quwain,January,Sunday,Before noon,fourth week,Deterioration,Preoccupation with the road while driving the vehicle in any way,International Federation Street,Commercial area,The Rafeh area,public road,Night - without lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,52,Male,40,2,There is no,vertigo,1
896528,2021,Ras Al Khaimah,March,Sunday,In the afternoon,the third week,Deterioration,Sudden deviation,Emirates Street Transit Street,Sandy area,Stagnation,public road,day,Barrier,dusty,Other (select),passenger,A passenger in the front seat,Simple,23,Male,120,3,There is no,Not at intersection,1
896530,2021,Abu Dhabi,June,Sunday,Before noon,second week,Shock,Sudden deviation,Peace Street (Eight),Commercial area,Palace,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,18,Male,100,5,There is no,Multi -legs intersection,1
896531,2021,Sharjah,January,Tuesday,Evening,The first week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Sheikh Khalid bin Mohammed Al Qasimi Street,Mosque,Sheikh Khaled Road,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,25,Male,80,3,There is no,Not on or by (20) meters of a,1
